  n sched        FA                cells    area   delay   tree    CPA  t_eval  t_check
  4 array        nand9               124     465   1920ps  1863ps    57ps   0.00s    0.00s
  4 wallace      nand9               124     465   1528ps   972ps   555ps   0.00s    0.00s
  4 dadda        nand9               124     465   1379ps   604ps   775ps   0.00s    0.00s
  4 greedy_time  nand9               124     465   1524ps   972ps   552ps   0.01s    0.00s
  4 array        xor2x2+a21o          56     410   2038ps  1929ps   109ps   0.00s    0.00s
  4 wallace      xor2x2+a21o          56     410   1608ps   992ps   616ps   0.00s    0.00s
  4 dadda        xor2x2+a21o          56     410   1465ps   636ps   829ps   0.00s    0.00s
  4 greedy_time  xor2x2+a21o          56     410   1618ps   992ps   626ps   0.00s    0.00s
  8 array        nand9               600    2252   4720ps  4660ps    60ps   0.02s    0.10s
  8 wallace      nand9               600    2252   2906ps  1727ps  1179ps   0.02s    0.09s
  8 dadda        nand9               600    2252   2708ps  1267ps  1442ps   0.02s    0.09s
  8 greedy_time  nand9               600    2252   2906ps  1727ps  1179ps   0.02s    0.09s
  8 array        xor2x2+a21o         272    2022   5154ps  5087ps    66ps   0.01s    0.09s
  8 wallace      xor2x2+a21o         272    2022   3175ps  1806ps  1368ps   0.01s    0.09s
  8 dadda        xor2x2+a21o         272    2022   3027ps  1308ps  1718ps   0.01s    0.09s
  8 greedy_time  xor2x2+a21o         272    2022   3175ps  1806ps  1368ps   0.01s    0.09s
 16 array        nand9              2608    9789  10318ps 10259ps    60ps   0.10s    0.04s*
 16 wallace      nand9              2608    9789   5375ps  2959ps  2416ps   0.10s    0.04s*
 16 dadda        nand9              2608    9789   5190ps  2008ps  3182ps   0.10s    0.04s*
 16 greedy_time  nand9              2608    9789   5375ps  2959ps  2416ps   0.10s    0.04s*
 16 array        xor2x2+a21o        1184    8848  11470ps 11404ps    66ps   0.05s    0.03s*
 16 wallace      xor2x2+a21o        1184    8848   6251ps  3345ps  2907ps   0.06s    0.03s*
 16 dadda        xor2x2+a21o        1184    8848   6103ps  2067ps  4036ps   0.06s    0.03s*
 16 greedy_time  xor2x2+a21o        1184    8848   6251ps  3345ps  2907ps   0.06s    0.03s*
 32 array        nand9             10848   40719  21515ps 21456ps    60ps   0.40s    0.11s*
 32 wallace      nand9             10848   40719  10312ps  5441ps  4871ps   0.46s    0.12s*
 32 dadda        nand9             10848   40719  10153ps  2706ps  7448ps   0.42s    0.11s*
 32 array        xor2x2+a21o        4928   36915  24104ps 24037ps    66ps   0.22s    0.08s*
 32 wallace      xor2x2+a21o        4928   36915  12405ps  6422ps  5983ps   0.23s    0.08s*
 32 dadda        xor2x2+a21o        4928   36915  12257ps  2765ps  9492ps   0.24s    0.08s*
* = 4096 random vectors (exhaustive infeasible); correctness of the schedule itself is the Lean theorem
